,Sector
SA,Basic Materials
BCOV,Technology
ACBI,Financial Services
CVBF,Financial Services
ISCA,Consumer Cyclical
NGVT,Basic Materials
BY,Financial Services
LSXMA,Consumer Cyclical
PATK,Consumer Cyclical
AGQ,
INUV,Consumer Cyclical
SYNC,Technology
VBLT,Healthcare
VMI,Industrials
CHSP,Real Estate
HF,Real Estate
BPMC,Healthcare
SASR,Financial Services
AYR,Industrials
CLD,Basic Materials
NBRV,Healthcare
PGAL,
TVTY,Healthcare
VGT,
FCN,Industrials
ATOM,Technology
WEX,Industrials
AQXP,Healthcare
NXST,Consumer Cyclical
CCIH,Technology
CURO,Financial Services
KODK,Technology
MTRN,Basic Materials
TECH,Healthcare
WING,Consumer Cyclical
VDSI,Technology
UBNK,Financial Services
ALO,Basic Materials
HAFC,Financial Services
FI,Energy
ADES,Industrials
ATRA,Healthcare
BOOM,Industrials
GLYC,Healthcare
SPH,Utilities
GCAP,Financial Services
NEWR,Technology
VCRA,Technology
SHV,
FXE,
BZH,Consumer Cyclical
PRI,Financial Services
FTSM,
TCO,Real Estate
EXLS,Industrials
DM,Energy
QLYS,Technology
QURE,Healthcare
RTRX,Industrials
STAR,Real Estate
WIFI,Technology
CLSD,Healthcare
FNDE,
ICUI,Healthcare
WVE,Healthcare
MNTX,Industrials
LSTR,Industrials
LTC,Real Estate
ELS,Real Estate
TGS,Utilities
CDR,Real Estate
BHBK,Financial Services
ABDC,Financial Services
VGZ,Basic Materials
ARTX,Industrials
BIF,Financial Services
IGHG,
NAK,Basic Materials
ASIX,Basic Materials
GMZ,Financial Services
SYBX,Healthcare
TEO,Communication Services
WASH,Financial Services
XLRN,Healthcare
RMNI,Technology
LMAT,Healthcare
HMI,Technology
SRT,Industrials
IMDZ,Healthcare
BPY,Real Estate
CBZ,Industrials
BLRX,Healthcare
KIRK,Consumer Cyclical
BSCK,
CDZI,Utilities
SAIA,Industrials
CRMD,Healthcare
IPOA,Industrials
PIN,
RQI,Financial Services
THM,Basic Materials
IDSY,Technology
SHY,
RRTS,Industrials
INSY,Healthcare
OGS,Utilities
RWO,
AY,Utilities
USLV,
CMD,Healthcare
LBY,Consumer Defensive
VSS,
RBC,Technology
SCHM,
CIO,Real Estate
THD,
FNJN,Technology
ADUS,Healthcare
FTEC,
LBAI,Financial Services
NWE,Utilities
PLT,Technology
HTM,Utilities
GOL,Industrials
ELF,Consumer Defensive
VAC,Consumer Cyclical
GNBC,Financial Services
OMCL,Technology
UFPI,Basic Materials
IBOC,Financial Services
ZAGG,Consumer Cyclical
VEC,Industrials
WBK,Financial Services
CSQ,Financial Services
HELE,Consumer Defensive
CRHM,Healthcare
FGP,Consumer Cyclical
IIF,Financial Services
NIB,
XSPA,Technology
BRG,Real Estate
GSV,Basic Materials
PCMI,Consumer Cyclical
AIR,Industrials
POL,Basic Materials
MINT,
EBR,Utilities
TRVG,Consumer Cyclical
HIIQ,Healthcare
SIEN,Healthcare
HASI,Real Estate
CVI,Energy
CPLP,Industrials
JOBS,Industrials
FOGO,Consumer Cyclical
SPAB,
AWF,Financial Services
BXG,Consumer Cyclical
FBK,Financial Services
IYZ,
FAX,Financial Services
SHYG,
NICE,Technology
KALU,Basic Materials
ACC,Real Estate
RELX,Consumer Cyclical
CAMP,Technology
ICON,Consumer Cyclical
JE,Utilities
ASPS,Industrials
RGS,Consumer Cyclical
BNO,
ZIXI,Technology
ACWV,
ITGR,Healthcare
CGBD,Financial Services
EWN,
MNLO,Healthcare
BSF,Financial Services
RGEN,Healthcare
BPI,Consumer Defensive
KRO,Basic Materials
SB,Industrials
AOSL,Technology
CVGW,Consumer Defensive
DSKE,Industrials
DGICA,Financial Services
CCO,Consumer Cyclical
TUES,Consumer Defensive
GXC,
SILC,Technology
RGLD,Basic Materials
ARLZ,Healthcare
GBDC,Financial Services
IFGL,
OCSI,Financial Services
TSG,Consumer Cyclical
EBS,Healthcare
EURN,Industrials
QTWO,Technology
SNLN,
SAGE,Healthcare
NOA,Energy
APVO,Healthcare
CALX,Technology
PLAB,Technology
RARX,Healthcare
AGYS,Technology
RSO,Real Estate
AHT,Real Estate
CALA,Healthcare
TGH,Industrials
CG,Financial Services
EVA,Basic Materials
RPV,
ATR,Consumer Cyclical
TRST,Financial Services
SYKE,Technology
TEDU,Consumer Defensive
FWRD,Industrials
ABG,Consumer Cyclical
LBC,Financial Services
MARA,Industrials
DS,Real Estate
FLIC,Financial Services
ARDX,Healthcare
ARR,Real Estate
ADAP,Healthcare
BIL,Financial Services
ATGE,Consumer Defensive
WHD,Energy
BSV,
LEXEA,Technology
LECO,Industrials
PID,
TRVN,Healthcare
JPS,Financial Services
FSB,Financial Services
SPHQ,
CATO,Consumer Cyclical
SGOL,
MTX,Basic Materials
BOE,Financial Services
FENG,Technology
VTL,Healthcare
LJPC,Healthcare
TREX,Basic Materials
FTS,Utilities
VV,
CCS,Consumer Cyclical
CHUY,Consumer Cyclical
FDN,
MLNT,Healthcare
CLB,Energy
CTRN,Consumer Cyclical
VSTM,Healthcare
CIT,Financial Services
UTI,Consumer Defensive
GPL,Basic Materials
INTT,Technology
BGB,Financial Services
IBP,Basic Materials
CENT,Consumer Defensive
SPTN,Consumer Defensive
NML,Financial Services
NSIT,Technology
AMRS,Basic Materials
EQBK,Financial Services
SEAC,Technology
RVLT,Technology
JMF,Financial Services
RNGR,Energy
INAP,Technology
ACWX,
ARGX,Healthcare
RACE,Consumer Cyclical
STKL,Consumer Defensive
VFH,
ROL,Industrials
KOP,Basic Materials
STAA,Healthcare
TCRD,Financial Services
LFUS,Technology
CYBR,Technology
ULTI,Technology
ESL,Industrials
APOG,Basic Materials
MPWR,Technology
MBIN,Financial Services
HI,Consumer Cyclical
CRED,
PZA,
FELE,Industrials
SSB,Financial Services
LAYN,Industrials
WBAI,Consumer Cyclical
ADMA,Healthcare
ETY,Financial Services
GLP,Energy
ICLN,
ITRN,Technology
RYB,Consumer Defensive
MAIN,Financial Services
INNT,Healthcare
CAFD,Utilities
LANC,Consumer Defensive
PRGX,Industrials
CHDN,Consumer Cyclical
DQ,Technology
TYL,Technology
AKTS,Technology
SLP,Technology
RICK,Consumer Cyclical
AVAL,Financial Services
PER,Energy
ENTA,Healthcare
DJP,
EXPO,Industrials
IXC,
INDY,
FRGI,Consumer Cyclical
HBIO,Healthcare
SEND,Technology
DAKT,Technology
EFG,
AREX,Energy
AAON,Basic Materials
SKY,Consumer Cyclical
FPL,Financial Services
NSTG,Healthcare
MOV,Consumer Cyclical
HSEB,Financial Services
GTS,Financial Services
JRO,Financial Services
CDMO,Healthcare
ARC,Technology
KFY,Industrials
CQQQ,
GIB,Technology
MDY,
BCEI,Energy
DFIN,Financial Services
NNI,Financial Services
ESIO,Technology
FLDM,Technology
COGT,Technology
EVF,Financial Services
IBDD,
NTG,Financial Services
CGIX,Healthcare
ZOES,Consumer Cyclical
RMAX,Real Estate
VCLT,
CRVS,Healthcare
HRI,Industrials
LDL,Industrials
PRLB,Industrials
BIT,Financial Services
TECD,Technology
HAIR,Healthcare
MMI,Real Estate
CR,Industrials
CEQP,Utilities
CRWS,Consumer Cyclical
LNN,Industrials
EDC,
TCBK,Financial Services
VMIN,
PTX,Healthcare
SODA,Consumer Cyclical
SNDX,Healthcare
CLNC,Real Estate
INGN,Healthcare
GDV,Financial Services
JONE,Energy
GSBC,Financial Services
PEN,Healthcare
MTGE,Real Estate
AGR,Utilities
ANIP,Healthcare
CETX,Industrials
FRN,
FXC,
GNCA,Healthcare
LQDT,Consumer Cyclical
PRSC,Healthcare
SCJ,
TKC,Communication Services
VMO,Financial Services
CRK,Energy
CYOU,Technology
FATE,Healthcare
NWN,Utilities
OSS,Technology
TSQ,Consumer Cyclical
PDVW,Communication Services
CODI,Industrials
RDVY,
PBPB,Consumer Cyclical
WAAS,Utilities
CRF,Financial Services
IGR,Financial Services
NANO,Technology
TACO,Consumer Cyclical
AVAV,Industrials
SPEM,
IPGP,Technology
TTOO,Healthcare
SAM,Consumer Defensive
DSX,Industrials
IIPR,Real Estate
AMPH,Healthcare
CNMD,Healthcare
DOG,
HDNG,Industrials
HEQ,Financial Services
NDLS,Consumer Cyclical
TNH,Basic Materials
VWOB,
ABCB,Financial Services
BPMP,Energy
PJC,Financial Services
CEN,Financial Services
CYTK,Healthcare
NTGR,Technology
ITA,
FONR,Healthcare
UNF,Consumer Cyclical
RDWR,Technology
JDST,
FTXO,
GIFI,Industrials
BGSF,Industrials
CACC,Financial Services
EMO,Financial Services
OSIS,Technology
NEP,Utilities
EPM,Energy
CNA,Financial Services
CRY,Healthcare
SRLN,
FXY,
LAUR,Consumer Defensive
SSD,Industrials
AMBC,Financial Services
BEL,Consumer Cyclical
TSLX,Financial Services
GBNK,Financial Services
AXON,Healthcare
CLUB,Consumer Cyclical
DON,
OXLC,Financial Services
PVAC,Energy
TWM,
OLBK,Financial Services
IYF,
TNC,Industrials
EIM,Financial Services
OZM,Financial Services
PNNT,Financial Services
AGIO,Healthcare
UGP,Energy
CO,Healthcare
VCSH,
TDY,Technology
SFE,Financial Services
TRTX,Financial Services
PHYS,Financial Services
DFE,
RUTH,Consumer Cyclical
SRCE,Financial Services
HURN,Industrials
MNDO,Technology
UGAZ,
FTD,Consumer Cyclical
PSDO,Technology
HABT,Consumer Cyclical
AKG,Basic Materials
CSS,Consumer Cyclical
EARS,Healthcare
HLTH,Healthcare
IGE,
SRI,Consumer Cyclical
WLDN,Industrials
MEI,Technology
SBSI,Financial Services
OPTT,Utilities
WSC,Industrials
QCRH,Financial Services
HSKA,Healthcare
CVTI,Industrials
USPH,Healthcare
JOE,Real Estate
RMR,Real Estate
CARA,Healthcare
CMRX,Healthcare
WATT,Technology
CEI,Energy
TARO,Healthcare
SOXL,
HIX,Financial Services
SBCF,Financial Services
TRTN,Industrials
NNBR,Industrials
SBT,Financial Services
PARR,Energy
MLPA,
OSB,Basic Materials
SSTI,Technology
ASA,Financial Services
ASNS,Healthcare
NNA,Industrials
PRPO,Healthcare
SPKE,Utilities
REX,Basic Materials
EXTN,Energy
IVTY,Healthcare
FRME,Financial Services
WLB,Basic Materials
CBPX,Basic Materials
IDCC,Communication Services
TMV,
TUR,
AWP,Financial Services
ROLL,Industrials
SNNA,Healthcare
NSSC,Industrials
ECH,
NEO,Healthcare
FPI,Real Estate
GLOB,Technology
EMKR,Technology
BNED,Consumer Cyclical
FBNC,Financial Services
LGCY,Energy
DOVA,Healthcare
SLRC,Financial Services
CPF,Financial Services
FNCL,
DSL,Financial Services
HEWP,
ISTB,
MTBC,Technology
NEON,Technology
NXE,Basic Materials
PBFX,Energy
RCUS,Healthcare
AMRC,Industrials
TOWR,Consumer Cyclical
SD,Energy
EGLE,Industrials
MTEM,Healthcare
EGBN,Financial Services
THG,Financial Services
NOAH,Financial Services
IDA,Utilities
MED,Consumer Cyclical
FRBK,Financial Services
PEBO,Financial Services
AMRWW,
IWN,
ODT,Healthcare
LOB,Financial Services
SHOS,Consumer Cyclical
ETJ,Financial Services
FMHI,
MCRI,Consumer Cyclical
NSL,Financial Services
CRNT,Technology
RTEC,Technology
WMK,Consumer Defensive
IDT,Communication Services
AHP,Real Estate
WEB,Technology
INSG,Technology
ROYT,Energy
RTTR,Healthcare
SDIV,
TNP,Industrials
NGS,Energy
CPSI,Technology
AGS,Consumer Cyclical
SCPH,Healthcare
GPRK,Energy
TRNC,Consumer Cyclical
CLCT,Industrials
CDXC,Basic Materials
BBSI,Industrials
FOR,Real Estate
PPT,Financial Services
VLRS,Industrials
ASMB,Healthcare
BSJJ,
CIR,Industrials
IPHS,Basic Materials
FARO,Technology
THR,Industrials
LLEX,Energy
PWV,
RNR,Financial Services
PICO,Real Estate
CHE,Healthcare
JRVR,Financial Services
NBTB,Financial Services
CMTL,Technology
CRSP,Healthcare
DHX,Industrials
EHIC,Industrials
EWO,
IVAC,Technology
WG,Energy
TIS,Consumer Defensive
VICL,Healthcare
KFRC,Industrials
MUC,Financial Services
SMI,Technology
CDTX,Healthcare
CNOB,Financial Services
GLAD,Financial Services
KMG,Basic Materials
PRF,
UFCS,Financial Services
CCMP,Technology
TRS,Industrials
NSP,Industrials
BBN,Financial Services
DFRG,Consumer Cyclical
NZF,Financial Services
MEIP,Healthcare
CLNE,Energy
XOXO,Consumer Cyclical
LKM,Technology
OMEX,Industrials
CBU,Financial Services
XENT,Healthcare
CRME,Healthcare
EVM,Financial Services
IGV,
PXMG,
QUAL,
TCON,Healthcare
VKI,Financial Services
NX,Basic Materials
STRA,Consumer Defensive
EWZS,
JAKK,Consumer Cyclical
NERV,Healthcare
RECN,Industrials
EARN,Real Estate
ATNX,Healthcare
NYMX,Healthcare
ALNA,Healthcare
AVX,Technology
MYO,Healthcare
FCSC,Healthcare
PDFS,Technology
MVIS,Technology
TBK,Financial Services
DWX,
PFSI,Financial Services
DSE,Financial Services
AQN,Utilities
ARMO,Healthcare
CHIQ,
FIBK,Financial Services
DEUS,
EDD,Financial Services
FEI,Financial Services
GPX,Consumer Defensive
MARK,Technology
MCA,Financial Services
OPTN,Healthcare
QTNA,Technology
TLH,
VOC,Energy
CHUBA,Technology
SRV,Financial Services
ETO,Financial Services
FCG,
CRCM,Technology
BLCM,Healthcare
FFIN,Financial Services
RGNX,Healthcare
APPF,Technology
KE,Technology
ASR,Industrials
EBIO,Healthcare
MBRX,Healthcare
AFMD,Healthcare
ASYS,Technology
APEI,Consumer Defensive
HYGS,Industrials
PSB,Real Estate
GORO,Basic Materials
MN,Financial Services
NITE,Healthcare
AFI,Basic Materials
TECL,
VICR,Technology
MORN,Industrials
EIGR,Healthcare
ATRC,Healthcare
EMLP,
ICD,Energy
CW,Technology
IWR,
APLS,Healthcare
CFO,
ILTB,
ALE,Utilities
Y,Financial Services
HZN,Industrials
UEIC,Technology
KOL,
AFH,Financial Services
AQ,Technology
AUTO,Technology
CKPT,Healthcare
HTBI,Financial Services
IDN,Technology
KOF,Consumer Defensive
LYTS,Technology
PHI,Communication Services
RIF,Financial Services
SPHB,
CTR,Financial Services
UBNT,Technology
MFL,Financial Services
YINN,
ORA,Utilities
CMPR,Consumer Cyclical
ESTE,Energy
SHM,
VKQ,Financial Services
EDGE,Healthcare
SRDX,Healthcare
OCUL,Healthcare
WSBC,Financial Services
RAS,Real Estate
PFBC,Financial Services
CARG,Technology
EMAN,Technology
EPZM,Healthcare
WMC,Real Estate
TAN,
LX,Financial Services
AIMC,Industrials
MFNC,Financial Services
AUO,Technology
ADRO,Healthcare
ARII,Industrials
CHI,Financial Services
CLY,
LEJU,Real Estate
SCHH,
SIVR,
NCZ,Financial Services
UTF,Financial Services
IBND,
CIU,
GHY,Financial Services
HMTV,Communication Services
PAC,Industrials
KYO,Technology
CTEK,Industrials
ABIL,Technology
IWS,
PLX,Healthcare
IEI,
NVEE,Industrials
ATRO,Industrials
CFRX,Healthcare
AZZ,Industrials
SJT,Energy
DX,Real Estate
IO,Energy
VO,
IWV,
KLXI,Industrials
BLX,Financial Services
ENSG,Healthcare
SXCP,Basic Materials
MXWL,Technology
TOCA,Healthcare
CYBE,Technology
EFC,Financial Services
ACP,Financial Services
AMTX,Basic Materials
ICL,Basic Materials
MIE,Financial Services
MSF,Financial Services
NHF,Financial Services
PHD,Financial Services
RWLK,Healthcare
INB,Financial Services
NBEV,Consumer Defensive
TDTT,
ECOL,Industrials
SMHI,Industrials
SHEN,Communication Services
AVH,Industrials
TOO,Industrials
ITI,Technology
ROX,Consumer Defensive
GV,Industrials
HNI,Industrials
LPTX,Healthcare
NEU,Basic Materials
TIER,Real Estate
FSS,Industrials
IWP,
HCI,Financial Services
IFMK,Consumer Defensive
NXRT,Real Estate
QQQX,Financial Services
FRPH,Real Estate
GUSH,
HOS,Energy
ISD,Financial Services
IWY,
JASN,Industrials
MRIN,Technology
NLST,Technology
NUM,Financial Services
NVG,Financial Services
PHT,Financial Services
PIM,Financial Services
PRTS,Consumer Cyclical
RLH,Consumer Cyclical
TYG,Financial Services
VBTX,Financial Services
WSCWW,Industrials
UWT,
FRO,Industrials
HY,Industrials
BCPC,Basic Materials
CLH,Industrials
USNA,Consumer Defensive
OTTR,Utilities
WGP,Energy
CTO,Real Estate
VBIV,Basic Materials
BIZD,
EPHE,
TBPH,Healthcare
WPP,Consumer Cyclical
ANCX,Financial Services
PAHC,Healthcare
QUIK,Technology
FNDX,
AOI,Consumer Defensive
ALDX,Healthcare
AMU,
BBRG,Consumer Cyclical
CKH,Energy
IFN,Financial Services
OBE,Energy
ONTX,Healthcare
RST,Technology
RYE,
TLI,Financial Services
TREC,Basic Materials
WWR,Basic Materials
MATX,Industrials
ANGL,
HCKT,Industrials
BOMN,Industrials
WSBF,Financial Services
PKE,Technology
JRS,Financial Services
FFG,Financial Services
MAXR,Technology
JAGX,Healthcare
CSII,Healthcare
OXM,Consumer Cyclical
BSJI,
FXP,
PFLT,Financial Services
CMT,Consumer Cyclical
ALGT,Industrials
MFIN,Financial Services
PKD,Energy
QYLD,
LABU,
FNHC,Financial Services
ASV,Industrials
AVHI,Consumer Cyclical
BPK,Financial Services
FSV,Real Estate
JDD,Financial Services
NAUH,Consumer Defensive
PFXF,
RDI,Consumer Cyclical
RTIX,Healthcare
SCON,Technology
SMLP,Energy
OMED,Healthcare
HTBK,Financial Services
CLXT,Consumer Defensive
KNSL,Financial Services
DDM,
METC,Basic Materials
STIP,
NEOG,Healthcare
GTY,Real Estate
WTS,Industrials
BFZ,Financial Services
HMST,Financial Services
FFIC,Financial Services
CPL,Utilities
GNMX,Healthcare
ECOM,Technology
CEO,Energy
GALT,Healthcare
BBW,Consumer Cyclical
IMKTA,Consumer Defensive
SPSM,
NRK,Financial Services
RAIL,Industrials
KSA,
INPX,Technology
INDB,Financial Services
IWO,
GSLC,
CWAY,Financial Services
AUPH,Healthcare
AVK,Financial Services
BSJK,
HIO,Financial Services
LN,Technology
NK,Healthcare
NMZ,Financial Services
OILD,
PTY,Financial Services
SGY,Energy
CECO,Consumer Defensive
TR,Consumer Defensive
CABO,Communication Services
LCUT,Consumer Cyclical
IDOG,
BWX,
ERIE,Financial Services
AAC,Healthcare
BCX,Financial Services
GIM,Financial Services
GPM,Financial Services
HSTM,Technology
EEMV,
AGM,Financial Services
DFFN,Healthcare
VIVE,Healthcare
AGII,Financial Services
KEG,Energy
UMH,Real Estate
FIX,Industrials
FDUS,Financial Services
ANAT,Financial Services
RENX,Consumer Cyclical
CIVB,Financial Services
RKDA,Basic Materials
XSLV,
MORL,
OFIX,Healthcare
KVHI,Technology
TTGT,Technology
HQH,Financial Services
IWX,
ARCB,Industrials
WABC,Financial Services
ACRX,Industrials
CAF,Financial Services
CAI,Industrials
CNBKA,Financial Services
DXJS,
GLMD,Healthcare
GLOP,Energy
ITM,
LODE,Basic Materials
MATR,Technology
MDWD,Healthcare
MG,Industrials
NOVN,Healthcare
OIA,Financial Services
OILU,
OPESU,Industrials
PCK,Financial Services
TANH,Basic Materials
TEI,Financial Services
TTT,
UNT,Energy
VHC,Technology
ZFGN,Healthcare
ZSAN,Healthcare
BKF,
VHI,Basic Materials
PUK,Financial Services
CCXI,Healthcare
UBFO,Financial Services
CNXN,Technology
JAX,Consumer Cyclical
SONA,Financial Services
ARA,Healthcare
CPLA,Consumer Defensive
DLB,Consumer Cyclical
HAYN,Industrials
TCX,Technology
TPB,Consumer Defensive
KIN,Healthcare
LABL,Industrials
CII,Financial Services
DWM,
SPMD,
SPLG,
MACK,Healthcare
ACST,Healthcare
THQ,Financial Services
EZM,
MCR,Financial Services
IYW,
BTO,Financial Services
FFWM,Financial Services
BLOK,
BIP,Utilities
CAC,Financial Services
NATH,Consumer Cyclical
ANDE,Consumer Defensive
CTWS,Utilities
WIW,Financial Services
YUMA,Energy
CARO,Financial Services
MCS,Consumer Cyclical
GOOD,Real Estate
CIA,Financial Services
CLW,Basic Materials
AMRK,Financial Services
ATHX,Healthcare
CCD,Financial Services
CEM,Financial Services
COOL,Healthcare
DGII,Technology
ESES,Energy
GMRE,Real Estate
IHD,Financial Services
IXN,
KRYS,Healthcare
NTIP,Technology
ORN,Industrials
PEY,
PLXP,Healthcare
SLGL,Healthcare
SPEX,Industrials
VLGEA,Consumer Defensive
YTRA,Consumer Cyclical
JO,
MKL,Financial Services
FNDB,
ALOG,Healthcare
EOI,Financial Services
KYE,Financial Services
WRLD,Financial Services
NAVG,Financial Services
QAI,
FICO,Technology
GRC,Industrials
OLP,Real Estate
PZN,Financial Services
SYBT,Financial Services
FTF,Financial Services
HWKN,Basic Materials
PICB,
DHY,Financial Services
SJW,Utilities
GFF,Basic Materials
LRGF,
DRIP,
CHY,Financial Services
LEO,Financial Services
TORC,Healthcare
VISI,Industrials
CEVA,Technology
FLY,Industrials
AGX,Industrials
XOMA,Healthcare
SMP,Consumer Cyclical
BSE,Financial Services
NVIV,Healthcare
AIA,
CGG,Energy
DCAR,Technology
EFZ,
GNK,Industrials
HCCI,Industrials
HQL,Financial Services
IGI,Financial Services
ILPT,Real Estate
JPGE,
KIDS,Healthcare
PFN,Financial Services
PULM,Healthcare
SCYX,Healthcare
SECO,Consumer Cyclical
XPL,Basic Materials
FFKT,Financial Services
CHW,Financial Services
EIG,Financial Services
BST,Financial Services
CHCO,Financial Services
STK,Financial Services
NXTD,Industrials
IBCP,Financial Services
DNP,Financial Services
INSW,Industrials
NCV,Financial Services
DCIX,Industrials
FLKS,Healthcare
PCN,Financial Services
IBDL,
CHT,Communication Services
SLD,Real Estate
EAD,Financial Services
MBWM,Financial Services
ETW,Financial Services
RCKY,Consumer Cyclical
KAMN,Industrials
ZIV,
USM,Communication Services
POWI,Technology
TDW,Energy
HIL,Industrials
NCOM,Financial Services
NAD,Financial Services
OOMA,Communication Services
NTRA,Healthcare
PGC,Financial Services
MSL,Financial Services
EPV,
UVE,Financial Services
ATAX,Financial Services
BTZ,Financial Services
CXE,Financial Services
DPG,Financial Services
EDOM,
FFC,Financial Services
FPF,Financial Services
FXF,
FXN,
IBLN,
MBOT,Healthcare
MIXT,Technology
MOTS,Healthcare
MTL,Basic Materials
NEXT,Energy
NFBK,Financial Services
NL,Industrials
NRO,Financial Services
OTIV,Industrials
PCI,Financial Services
RVRS,
UGL,
UGLD,
USEG,Energy
VTA,Financial Services
SHG,Financial Services
MQT,Financial Services
APTO,Healthcare
ABCD,Consumer Defensive
CORR,Utilities
FXR,
REV,Consumer Defensive
ARGT,
EGY,Energy
MRSN,Healthcare
VHT,
VBK,
CBA,Financial Services
SYX,Consumer Cyclical
GHM,Industrials
GWX,
GCO,Consumer Cyclical
SNSS,Healthcare
JBSS,Consumer Defensive
CUB,Industrials
RGR,Industrials
QTEC,
LPTH,Technology
MITT,Real Estate
REGL,
TTEC,Industrials
FISI,Financial Services
VCYT,Healthcare
CGEN,Healthcare
SMM,Financial Services
FM,
JPC,Financial Services
MOFG,Financial Services
REM,
IPKW,
NVR,Consumer Cyclical
RNST,Financial Services
ULBI,Industrials
FOMX,Healthcare
SCHC,
ESE,Technology
FBMS,Financial Services
ACIU,Healthcare
KELYA,Industrials
TMP,Financial Services
MGEN,Healthcare
SQBG,Consumer Cyclical
WIP,
ACRE,Real Estate
IMOS,Technology
HFRO,
SPOK,Communication Services
ABTX,Financial Services
BYBK,Financial Services
CAMT,Technology
DCF,
DGLD,
DGS,
ERY,
HMLP,Industrials
MCBC,Financial Services
MDIV,
NIM,Financial Services
NRP,Basic Materials
PBT,Energy
PLUS,Technology
SDLP,Energy
SELB,Healthcare
TBF,
THFF,Financial Services
YIN,Financial Services
FGB,Financial Services
GDP,Energy
RFIL,Technology
NCSM,Energy
PRFT,Technology
PFS,Financial Services
CSWI,Industrials
MPA,Financial Services
TPHS,Real Estate
DCUD,Utilities
ECON,
HYLB,
DEM,
BLBD,Consumer Cyclical
NCNA,Healthcare
BSCM,
KMPH,Healthcare
CDTI,Industrials
PDP,
ZLAB,Healthcare
AMSC,Technology
RCKT,Healthcare
VNQI,
TGB,Basic Materials
FBT,
YRD,Financial Services
AOM,
FGM,
GLO,Financial Services
RWM,
LEMB,
GAIN,Financial Services
JRI,Financial Services
LRN,Consumer Defensive
RAVN,Industrials
GNT,Financial Services
GXG,
MBIO,Healthcare
SIFI,Financial Services
ARDC,Financial Services
CEV,Financial Services
CLSN,Healthcare
COPX,
ECC,Financial Services
EFT,Financial Services
EHI,Financial Services
EOD,Financial Services
ETG,Financial Services
FSD,Financial Services
HLG,Consumer Defensive
IFRX,Healthcare
IRR,Financial Services
JGH,Financial Services
KMM,Financial Services
KNOP,Industrials
LION,Financial Services
LMBS,
MMAC,Financial Services
MYJ,Financial Services
NAO,Industrials
OAKS,Real Estate
OCX,Healthcare
RENN,Technology
SMRT,Consumer Cyclical
TRK,Consumer Cyclical
VRTV,Industrials
WKHS,Consumer Cyclical
TSI,Financial Services
CLLS,Healthcare
JJSF,Consumer Defensive
NTEC,Healthcare
TTEK,Industrials
CTBI,Financial Services
REMX,
CCF,Industrials
YCS,
FVD,
HAWX,
IHG,Consumer Cyclical
RFDA,
BATRA,Consumer Cyclical
DZZ,
INTL,Financial Services
FBIO,Healthcare
KIO,Financial Services
BSRR,Financial Services
CORI,Healthcare
EDUC,Consumer Cyclical
SOR,Financial Services
FDEF,Financial Services
PSLV,Financial Services
NVMI,Technology
PXJ,
ESXB,Financial Services
KMF,Financial Services
KWEB,
FLXS,Consumer Cyclical
VALU,Consumer Cyclical
RIBT,Consumer Defensive
DDWM,
ABLX,Healthcare
HACK,
MYE,Consumer Cyclical
CWEB,
PMF,Financial Services
GLPG,Healthcare
RLGT,Industrials
ZMLP,
FC,Consumer Defensive
NC,Consumer Cyclical
APT,Basic Materials
EWX,
EVI,Consumer Cyclical
AGRX,Healthcare
AGTC,Healthcare
ALLT,Technology
BANX,Financial Services
BFK,Financial Services
CANE,
CBIO,Healthcare
CEA,Industrials
CNET,Consumer Cyclical
DCPH,Healthcare
HBB,Technology
HBP,Industrials
HOFT,Consumer Cyclical
HYZD,
ICLK,Consumer Cyclical
IFON,Technology
IGA,Financial Services
IIM,Financial Services
IPCI,Healthcare
ISTR,Financial Services
KBAL,Technology
LNDC,Consumer Defensive
NAN,Financial Services
NDP,Financial Services
NTRSP,Financial Services
NWPX,Basic Materials
PRCP,Technology
PRFZ,
RM,Financial Services
SYRS,Healthcare
UTL,Utilities
WNEB,Financial Services
ZEUS,Industrials
MVF,Financial Services
ERM,
DKT,Financial Services
NYF,
SCL,Basic Materials
ASCMA,Industrials
RSYS,Technology
SALM,Consumer Cyclical
EOS,Financial Services
NEWT,Financial Services
NH,Technology
HBMD,Financial Services
REIS,Industrials
SPXX,Financial Services
SPNE,Healthcare
FORR,Industrials
IYT,
NTP,Technology
STRL,Industrials
MFSF,Financial Services
BLCN,
MRUS,Healthcare
RILY,Financial Services
RUSL,
DBL,Financial Services
MUI,Financial Services
EPU,
TAX,Consumer Cyclical
IMUC,Healthcare
RJA,
NIE,Financial Services
TLTE,
ASG,Financial Services
STCN,Industrials
GRAM,Industrials
ACFC,Financial Services
MMLP,Energy
HBNC,Financial Services
CUE,Healthcare
INFU,Healthcare
CHAD,
PCEF,
RPG,
MGNX,Healthcare
TDIV,
BSCO,
RFAP,
AMEH,Healthcare
STN,Industrials
AXSM,Healthcare
GHC,Consumer Cyclical
IBMJ,
CIK,Financial Services
HYLD,
JTPY,Technology
DCOM,Financial Services
AMOT,Technology
BIB,
BKEP,Energy
BRT,Real Estate
BWFG,Financial Services
CPER,
CSBK,Financial Services
CSV,Consumer Cyclical
CVU,Industrials
DNI,Financial Services
DSM,Financial Services
EBF,Industrials
EVT,Financial Services
FMBH,Financial Services
FMO,Financial Services
FOF,Financial Services
FTCS,
GEOS,Energy
HNP,Utilities
HTBX,Healthcare
IBMI,
